cartodb_id,the_geom,date,profit,tax
3100,,2009-08-18,801550,14815.5
3117,,2006-09-18,235000,5000
3194,,2006-12-12,265000,6500
3208,,2006-03-29,357500,6700
3215,,2003-12-15,149500,4095
3230,,2006-11-09,432500,8800
3251,,2007-03-02,215000,4650
3264,,2005-07-19,190000,4950
3278,,2004-08-11,230000,4500
3280,,2005-02-23,375000,6750
3281,,2005-05-16,285000,7250
3360,,2015-04-30,235568,6290
3381,,2012-08-27,227000,3770
3384,,2006-03-28,9317000,200170
3408,,2007-09-21,384000,9990
3428,,2012-04-27,209000,5690
3459,,2013-05-13,320000,4400
3467,,2012-08-07,223500,4585
3494,,2008-01-11,270000,5600
3534,,2013-08-12,1560000,31350
3553,,2009-09-10,209050,4840.5
3554,,2004-02-20,182000,3830
3574,,2010-01-21,180000,5350
3596,,2004-08-06,225000,4500
3604,,2006-03-28,158800,3920
3611,,2013-11-14,285000,5200
3617,,2005-01-28,256000,5900
3625,,2011-11-17,155000,3650
3631,,2014-03-18,217469,6400
3638,,2013-08-02,315000,5550
3643,,2005-04-01,152200,4505
3646,,2015-02-26,280200,5930
3649,,2003-09-29,234000,4990
3689,,2007-04-06,280000,5800
3699,,2005-05-24,155500,4180
3703,,2005-05-11,218000,4250
3713,,2013-06-12,127000,3300
3719,,2013-07-26,167000,3850
3725,,2007-10-30,381163,5253
3726,,2009-10-02,214600,5696
3743,,2011-09-16,145000,3450
3746,,2015-04-13,248000,5780
3754,,2003-11-05,125000,3450
3757,,2004-03-31,138000,2980
3761,,2012-10-25,329000,5890
3789,,2004-01-30,280000,4350
3858,,2013-03-18,214000,3650
3867,,2003-04-30,139000,3590
3902,,2004-12-02,121000,3500
3919,,2005-01-26,141000,3810
3934,,2011-03-01,497900,12179
3948,,2003-12-11,180000,4050
3951,,2006-12-14,1400000,24000
3962,,2013-09-25,157000,3200
4004,,2010-10-07,160000,3900
4046,,2003-04-14,147000,3720
4048,,2014-03-21,240000,4550
4062,,2005-10-20,145500,4000
4094,,2005-09-27,243000,5500
4096,,2006-12-22,251000,6200
4119,,2014-03-07,895000,22950
4122,,2008-02-22,275000,6200
4163,,2008-06-06,195000,5400
4181,,2005-10-12,550000,10500
4210,,2006-10-12,550800,7000
4219,,2005-11-18,454500,9880
4221,,2014-07-21,226400,6400
4263,,2014-07-01,259999,4599.99
4278,,2012-06-01,271750,3837.5
4284,,2013-09-25,185000,3400
4316,,2008-01-04,270000,6350
4337,,2007-01-19,38920000,820000
4404,,2005-12-22,500000,6900
4406,,2005-10-28,380262,7560
4413,,2013-07-19,310514,6500
4429,,2014-08-04,556000,7700
4431,,2008-10-29,330000,5500
4443,,2014-09-17,304000,4990
4454,,2006-11-16,200000,5250
4455,,2004-08-04,129000,3040
4468,,2012-04-27,443000,7380
4489,,2004-01-30,130000,3650
4542,,2004-06-11,128304,3143.4
4567,,2004-10-29,117500,3175
4578,,2006-04-28,219932,6099.32
4585,,2005-06-28,195000,5550
4655,,2009-06-24,196534,5200
4668,,2006-05-30,240500,7190
4676,,2015-03-31,268000,5300
4687,,2006-02-27,242394,5651.29
4705,,2012-12-03,356000,8060
4710,,2014-05-28,425525,9250
4717,,2005-04-21,518000,7780
4731,,2004-07-12,149000,3690
4793,,2013-10-23,400000,6250
4811,,2004-03-23,359000,6890
4825,,2012-11-30,220000,4050
4828,,2013-05-29,270000,5000
4854,,2011-12-30,150000,3900
4860,,2012-09-07,160000,3750
4862,,2009-12-23,295000,4700
4894,,2015-04-13,220000,4400
4897,,2006-01-20,266000,5830
4925,,2005-12-01,316000,4660
4926,,2006-04-27,250000,5500
4932,,2013-12-19,375000,5100
4949,,2004-04-23,177000,3600
4950,,2014-12-18,213900,5650
4965,,2014-02-19,575000,12750
4975,,2006-03-31,270000,5750
4983,,2009-03-04,236500,4990
5001,,2013-04-25,330500,5700
5011,,2006-07-26,218000,6250
5040,,2006-01-10,258000,5860
5076,,2004-05-14,220000,6200
5077,,2005-12-02,423500,9990
5092,,2008-08-25,251000,6400
5108,,2012-10-26,370000,6750
5110,,2014-09-29,365000,6300
5132,,2014-10-16,229000,3890
5181,,2006-08-02,320000,6800
5196,,2010-02-23,245700,4300
5223,,2004-11-05,117549,2900
5232,,2010-09-21,215000,6200
5241,,2003-09-26,128999,3450
5259,,2014-06-11,207000,4990
5267,,2015-01-13,5000000,132000
5276,,2014-01-14,239000,4990
5303,,2014-12-08,1250000,23500
5315,,2005-05-05,237000,5020
5319,,2006-06-21,215000,6150
5326,,2004-02-18,133000,3280
5355,,2005-06-27,422542,5700
5359,,2007-04-30,170000,3800
5365,,2012-03-29,344200,5247
5388,,2005-01-18,192000,4820
5419,,2010-04-16,199100,3816
5453,,2009-10-13,170000,4050
5468,,2011-10-31,166000,4650
5485,,2008-09-17,253000,6030
5496,,2012-02-08,205000,4150
5528,,2010-11-30,15296000,222960
5535,,2014-03-12,291250,4180
5537,,2006-01-23,330000,5650
